architecture,score
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""rnn""}]}",0.0018882772419601
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007467058603651
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""gru""}]}",0.0009347047307528
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""bi-lstm""}]}",0.0007241527200676
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""cnn""}]}",0.0767270103096962
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 80, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 20, ""type"": ""rnn""}]}",0.002640799852088
"{""layers"": [{""activation"": ""relu"", ""neurons"": 30, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""gru""}]}",0.0008180716540664
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 10, ""type"": ""rnn""}, {""activation"": ""sigmoid"", ""neurons"": 10, ""type"": ""lstm""}]}",0.0304689984768629
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 100, ""type"": ""bi-lstm""}, {""activation"": ""sigmoid"", ""neurons"": 80, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""lstm""}]}",0.0036739092320203
"{""layers"": [{""activation"": ""relu"", ""neurons"": 80, ""type"": ""bi-lstm""}, {""activation"": ""sigmoid"", ""neurons"": 80, ""type"": ""bi-lstm""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""cnn""}]}",0.0766205340623855
"{""layers"": [{""activation"": ""relu"", ""neurons"": 20, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 70, ""type"": ""rnn""}]}",0.0032142850104719
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""rnn""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""gru""}]}",0.0006264935364015
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0004430300323292
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""bi-lstm""}, {""activation"": ""sigmoid"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 40, ""type"": ""gru""}]}",0.0023584419395774
"{""layers"": [{""activation"": ""relu"", ""neurons"": 50, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 100, ""type"": ""cnn""}]}",0.0778493210673332
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""gru""}]}",0.0005858084768988
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0008801674121059
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}]}",0.0815600603818893
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""gru""}]}",0.0007073607412166
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""gru""}]}",0.0007502227090299
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0007198465755209
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 50, ""type"": ""bi-lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0007674816879443
"{""layers"": [{""activation"": ""relu"", ""neurons"": 50, ""type"": ""bi-lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""gru""}]}",0.0007927756523713
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""cnn""}]}",0.0764433145523071
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""cnn""}]}",0.0764177441596984
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006735816132277
"{""layers"": [{""activation"": ""relu"", ""neurons"": 50, ""type"": ""bi-lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007670720806345
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0773862898349762
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006368398317135
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007971496670506
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0009779520332813
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007653313223272
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0796743854880333
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0025660279206931
