Year;Month;Day;Hour;Minute;TAir;Precip1;SM_5cm;ST_5cm;SM_10cm;ST_10cm;SM_20cm;ST_20cm;SM_50cm;ST_50cm
2014;5;30;12;0;16.6;0;0.188;19.1;0.148;18.8;0.123;18;0.165;17.3
2014;5;30;13;0;17.7;0;0.187;19.7;0.15;19.5;0.122;18;0.164;17.3
2014;5;30;14;0;18.9;0;0.187;20.7;0.15;20.3;0.126;18.4;0.165;17.3
2014;5;30;15;0;19.5;0;0.186;20.7;0.158;21.1;0.12;18.6;0.167;17.3
2014;5;30;16;0;20.1;0;0.183;20.7;0.161;21.1;0.125;19.1;0.167;17.3
2014;5;30;17;0;20.7;0;0.183;20.5;0.162;21.1;0.124;19.3;0.166;17.3
2014;5;30;18;0;21;0;0.181;20.1;0.159;20.7;0.126;19.5;0.169;17.5
2014;5;30;19;0;19.6;0;0.179;19.5;0.16;20.3;0.126;19.3;0.168;17.5
2014;5;30;20;0;15.9;0;0.18;18.8;0.157;19.5;0.129;19.1;0.165;17.7
2014;5;30;21;0;15.8;0;0.182;18.4;0.159;18.9;0.122;19.1;0.165;17.7
2014;5;30;22;0;15.3;0;0.18;18;0.165;18.6;0.127;18.8;0.169;17.7
2014;5;30;23;0;15.3;0;0.18;17.9;0.16;18.2;0.129;18.6;0.167;17.7
2014;5;31;0;0;16.5;0;0.18;17.9;0.162;18;0.129;18.4;0.169;17.7
2014;5;31;1;0;17.1;0;0.178;17.7;0.16;17.9;0.126;18.2;0.165;17.7
2014;5;31;2;0;16.5;0;0.179;17.5;0.159;17.7;0.124;18;0.167;17.7
2014;5;31;3;0;16.4;0;0.177;17.2;0.154;17.5;0.129;17.9;0.168;17.7
2014;5;31;4;0;15.4;0;0.178;16.8;0.155;17.3;0.124;17.7;0.168;17.7
2014;5;31;5;0;13.8;0;0.176;16.5;0.158;16.8;0.129;17.5;0.168;17.7
2014;5;31;6;0;16.3;0;0.178;16.7;0.158;16.7;0.125;17.2;0.168;17.5
2014;5;31;7;0;18.1;0;0.178;17.5;0.155;16.8;0.129;17.3;0.168;17.5
2014;5;31;8;0;19.4;0;0.177;18.6;0.156;17.3;0.123;17.2;0.168;17.5
2014;5;31;9;0;20.6;0;0.175;19.9;0.157;18.2;0.129;17.5;0.168;17.5
2014;5;31;10;0;21.9;0;0.171;21.1;0.152;19.5;0.122;17.9;0.165;17.3
2014;5;31;11;0;22.8;0;0.172;22.1;0.156;20.7;0.129;18.2;0.167;17.3
2014;5;31;12;0;23;0;0.169;22.4;0.158;21.9;0.128;18.9;0.167;17.3
2014;5;31;13;0;23.7;0;0.165;22.8;0.149;22.8;0.128;19.3;0.167;17.5
2014;5;31;14;0;23.5;0;0.166;22.8;0.155;23;0.128;20.1;0.165;17.5
2014;5;31;15;0;23.9;0;0.163;22.4;0.149;23.7;0.128;20.1;0.166;17.7
2014;5;31;16;0;23.5;0;0.161;21.7;0.149;23.3;0.13;20.5;0.169;17.7
2014;5;31;17;0;22.8;0;0.161;20.9;0.147;22.8;0.13;20.5;0.168;17.9
2014;5;31;18;0;21;0;0.16;20.3;0.148;21.9;0.124;20.7;0.166;18
2014;5;31;19;0;19.3;0;0.158;19.7;0.152;21.1;0.125;20.1;0.168;18
2014;5;31;20;0;17.2;0;0.156;18.9;0.148;20.5;0.125;20.1;0.166;18
2014;5;31;21;0;15.1;0;0.157;18.6;0.157;19.7;0.122;19.9;0.166;18.2
2014;5;31;22;0;14.4;0;0.159;18;0.144;19.1;0.124;19.5;0.168;18.2
2014;5;31;23;0;13.7;0;0.154;17.7;0.155;18.6;0.121;19.1;0.166;18
2014;6;1;0;0;12.2;0;0.157;17.3;0.152;18.2;0.127;18.9;0.168;18.2
2014;6;1;1;0;10.7;0;0.156;17;0.155;17.7;0.127;18.8;0.166;18.2
2014;6;1;2;0;10.3;0;0.155;16.5;0.149;17.3;0.124;18.4;0.169;18
2014;6;1;3;0;9.7;0;0.155;16.2;0.148;17;0.124;17.9;0.169;18
2014;6;1;4;0;9.3;0;0.156;15.8;0.151;16.7;0.127;17.7;0.166;18
2014;6;1;5;0;8.9;0;0.156;15.5;0.153;16.3;0.127;17.5;0.166;18
2014;6;1;6;0;11.7;0;0.153;15.7;0.143;16;0.121;17.3;0.166;17.9
2014;6;1;7;0;14.3;0;0.156;16.3;0.143;16;0.124;16.8;0.164;17.7
2014;6;1;8;0;16.4;0;0.156;17.9;0.142;16.7;0.123;17;0.166;17.7
2014;6;1;9;0;18.4;0;0.157;19.3;0.15;17.7;0.12;17.2;0.166;17.5
2014;6;1;10;0;20;0;0.157;20.7;0.15;18.9;0.128;17.5;0.166;17.5
2014;6;1;11;0;21.4;0;0.156;21.9;0.14;20.5;0.126;18.2;0.166;17.5
2014;6;1;12;0;22.3;0;0.151;22.8;0.145;21.9;0.129;18.8;0.166;17.5
2014;6;1;13;0;22.9;0;0.151;23.7;0.142;23.3;0.128;19.3;0.166;17.5
2014;6;1;14;0;23.3;0;0.15;23.5;0.142;23.9;0.128;20.1;0.166;17.5
2014;6;1;15;0;23.5;0;0.149;23;0.144;24.2;0.124;20.7;0.165;17.7
2014;6;1;16;0;23.8;0;0.149;22.4;0.14;23.7;0.124;20.9;0.168;17.7
2014;6;1;17;0;23.7;0;0.147;21.7;0.142;23.3;0.128;20.9;0.165;17.9
2014;6;1;18;0;23.1;0;0.146;21.3;0.145;22.4;0.128;20.9;0.165;18
2014;6;1;19;0;21.7;0;0.145;20.3;0.143;21.5;0.122;20.7;0.169;18.2
2014;6;1;20;0;18.4;0;0.146;19.5;0.143;20.9;0.122;20.5;0.169;18.2
2014;6;1;21;0;16.5;0;0.147;19.1;0.143;20.1;0.129;20.3;0.165;18.2
2014;6;1;22;0;15.3;0;0.144;18.8;0.14;19.5;0.125;19.7;0.167;18.4
2014;6;1;23;0;13.9;0;0.145;18;0.146;18.9;0.125;19.3;0.167;18.4
2014;6;2;0;0;12;0;0.145;17.3;0.141;18.4;0.123;19.1;0.165;18.4
2014;6;2;1;0;9.7;0;0.146;16.8;0.14;17.9;0.123;18.8;0.167;18.4
2014;6;2;2;0;10.3;0;0.143;16.3;0.137;17.3;0.126;18.8;0.165;18.2
2014;6;2;3;0;9.4;0;0.143;16;0.143;17;0.124;18.2;0.167;18.2
2014;6;2;4;0;8.7;0;0.144;15.7;0.141;16.5;0.124;17.9;0.168;18
2014;6;2;5;0;8.6;0;0.144;15.4;0.144;16.2;0.125;17.5;0.165;18
2014;6;2;6;0;12;0;0.142;15.5;0.142;15.8;0.12;17.3;0.165;18
2014;6;2;7;0;16.6;0;0.141;16.7;0.136;16.2;0.122;17;0.165;17.9
2014;6;2;8;0;19;0;0.141;18;0.138;16.7;0.122;17;0.165;17.7
2014;6;2;9;0;21.3;0;0.142;19.5;0.141;17.3;0.125;17.3;0.166;17.7
2014;6;2;10;0;22.9;0;0.144;21.3;0.14;18.6;0.124;17.7;0.165;17.7
2014;6;2;11;0;23.8;0;0.144;22.6;0.135;20.3;0.124;18;0.165;17.5
2014;6;2;12;0;25;0;0.141;23.3;0.134;21.7;0.117;18.8;0.165;17.5
2014;6;2;13;0;25.5;0;0.141;23.9;0.138;22.8;0.123;19.5;0.165;17.7
2014;6;2;14;0;25.9;0;0.14;24.4;0.134;23.9;0.123;20.1;0.165;17.7
2014;6;2;15;0;25.7;0;0.137;23.7;0.135;24.4;0.12;20.7;0.165;17.7
2014;6;2;16;0;25.6;0;0.136;23.5;0.134;23.7;0.123;21.1;0.165;17.9
2014;6;2;17;0;25.1;0;0.135;22.4;0.132;23.3;0.123;21.1;0.165;18
2014;6;2;18;0;23.7;0;0.136;21.9;0.142;22.6;0.125;20.9;0.165;18
2014;6;2;19;0;21.5;0;0.134;21.3;0.133;21.9;0.123;20.9;0.165;18.2
2014;6;2;20;0;19.7;0;0.136;20.5;0.133;21.3;0.123;20.7;0.165;18.4
2014;6;2;21;0;18.7;0;0.135;19.9;0.134;20.7;0.124;20.3;0.165;18.4
2014;6;2;22;0;18.3;0;0.136;19.3;0.132;20.1;0.122;20.1;0.165;18.4
2014;6;2;23;0;17.4;0;0.133;19.1;0.135;19.5;0.117;19.9;0.165;18.4
2014;6;3;0;0;16.7;0;0.134;18.8;0.14;19.1;0.122;19.5;0.165;18.4
2014;6;3;1;0;16.2;0;0.133;18.2;0.136;18.9;0.117;19.3;0.167;18.4
2014;6;3;2;0;15.9;0;0.134;18.2;0.133;18.6;0.123;18.9;0.167;18.4
2014;6;3;3;0;15.8;0;0.132;18;0.137;18.4;0.12;18.9;0.165;18.4
2014;6;3;4;0;15.7;0;0.133;17.9;0.133;18.2;0.118;18.6;0.165;18.4
2014;6;3;5;0;15.9;0;0.133;17.7;0.135;18;0.117;18.6;0.165;18.4
2014;6;3;6;0;17.6;0;0.132;17.9;0.13;17.9;0.119;18.2;0.165;18.2
2014;6;3;7;0;19.5;0;0.132;18.6;0.129;18;0.119;18.4;0.163;18.2
2014;6;3;8;0;22.5;0;0.131;19.9;0.134;18.4;0.116;18.4;0.165;18.2
2014;6;3;9;0;24.7;0;0.135;21.5;0.132;19.1;0.116;18.4;0.165;18
2014;6;3;10;0;26.7;0;0.132;22.8;0.131;20.5;0.119;18.9;0.165;18
2014;6;3;11;0;28.4;0;0.13;23.9;0.131;21.7;0.121;19.5;0.166;18
2014;6;3;12;0;29.7;0;0.128;25.1;0.133;23;0.121;20.1;0.165;18
2014;6;3;13;0;30.4;0;0.13;25.9;0.128;24.4;0.116;20.7;0.163;18
2014;6;3;14;0;30.7;0;0.13;25.6;0.132;25.1;0.121;21.3;0.163;18.2
2014;6;3;15;0;30;0;0.125;25.6;0.128;25.6;0.117;21.9;0.165;18.4
2014;6;3;16;0;27;0;0.127;24.7;0.126;25.1;0.12;22.1;0.162;18.4
2014;6;3;17;0;24;0;0.124;23.7;0.126;24.2;0.122;22.1;0.166;18.6
2014;6;3;18;0;24.2;0;0.124;23.3;0.127;23.7;0.124;21.9;0.162;18.8
2014;6;3;19;0;24.9;0;0.125;23.3;0.128;23.5;0.12;21.7;0.166;18.9
2014;6;3;20;0;22.9;0;0.125;22.1;0.129;23;0.12;21.7;0.166;18.9
2014;6;3;21;0;21.8;0;0.125;21.7;0.133;22.4;0.122;21.5;0.166;19.1
2014;6;3;22;0;20.2;0;0.126;21.3;0.132;21.9;0.117;21.3;0.166;19.1
2014;6;3;23;0;19.7;0;0.126;20.9;0.132;21.3;0.124;21.1;0.163;19.1
2014;6;4;0;0;20.3;0;0.126;20.7;0.134;21.1;0.116;20.9;0.163;19.1
